cliente_id,nome,sobrenome,sexo,idade,email,telefone,cidade,estado,data_cadastro
31,Marcos,Ribeiro,F,45,marcos.ribeiro267@yahoo.com.br,(59)95558-7906,Curitiba,CE,2025/01/09
32,Fernanda,Ribeiro,M,22,fernanda.ribeiro973@hotmail.com,,Belo Horizonte,RJ,2025-03-01
33,Luiz,Teixeira,M,34,luiz.teixeira987@gmail.com,(85)91420-6111,Fortaleza,BA,02-11-2023
34,Carlos,Teixeira,M,67,carlos.teixeira580@gmail.com,(75)96590-1207,Feira de Santana,PR,2024-07-30
35,Daniel,Pereira,F,64,daniel.pereira942@yahoo.com.br,(52)95022-2419,Curitiba,GO,2025-03-13
36,Ricardo,Nascimento,F,19,ricardo.nascimento218@outlook.com,(46)91166-9464,Porto Alegre,GO,2025-02-11
37,Samuel,Dias,F,59,samuel.dias96@outlook.com,(85)97046-8753,Recife,CE,2025-02-01
38,Samuel,Rocha,M,35,samuel.rocha198@outlook.com,(34)94138-4545,Cuiabá,ES,2024-12-10
39,Carlos,Ferreira,M,36,carlos.ferreira726@hotmail.com,(27)99042-2680,São Paulo,GO,2023-11-29
40,Pedro,Rodrigues,M,78,pedro.rodrigues411yahoo.com.br,(49)92395-5066,Niterói,MS,2023-04-08
41,Ricardo,Rocha,F,76,ricardo.rocha636@gmail.com,(37)94457-5335,Rio de Janeiro,RJ,31/02/2025
42,Samuel,Correia,M,48,samuel,(91)94241-7965,Niterói,SC,10-19-2022
43,Laura,Correia,F,65,laura.correia480@outlook.com,(74)98172-2317,,PR,05-28-2023
44,Bernardo,Melo,F,55,bernardo.melo782@hotmail.com,(34)98141-9056,Rio de Janeiro,PR,2022-08-03
45,Diego,Martins,F,62,diego.martins564@gmail.com,(62)99431-1018,Recife,Rs,2024-10-17
46,Murilo,Souza,M,31,murilo.souza449@yahoo.com.br,(41)93594-6091,,RS,2022-08-21
47,Paulo,Ribeiro,F,71,paulo.ribeiro280@yahoo.com.br,(81)93369-7284,Porto Alegre,MG,2022-05-23
48,Roberto,Nascimento,F,77,roberto.nascimento290@outlook.com,(30)98316-9824,Cuiabá,MT,2024-02-12
49,Bruno,Ferreira,F,80,@gmail.com,(60)93492-9115,Campinas,PR,2022-07-25
50,Eduardo,Santos,M,51,teste@,(94)92315-6383,Recife,CE,2024-09-26
51,João,Correia,F,22,joão.correia765@gmail.com,(23)98269-3725,Londrina,São Paulo,2023-08-24
52,Daniel,Lima,M,33,daniel.lima81@yahoo.com.br,(29)94804-8555,Curitiba,ES,2024-08-10
53,Bernardo,Araujo,F,vinte,bernardo.araujo435@outlook.com,(72)92747-4886,Salvador,CE,31/02/2025
54,Camila,Silva,M,54,camila.silva764@yahoo.com.br,(40)96772-4588,Porto Alegre,CE,2022-10-08
55,Arthur,Ribeiro,F,,arthur.ribeiro374@hotmail.com,(33)94289-3165,Recife,MT,2023-07-13
56,Larissa,Dias,F,79,larissa.dias480@gmail.com,(97)97511-6992,Rio de Janeiro,Sao Paulo,2024-07-20
57,Nicolas,Monteiro,F,34,,(93)92035-8606,Londrina,SP,2022-03-18
58,Vanessa,Santos,M,24,vanessa.santos380@yahoo.com.br,(94)92622-9017,Vitória,SP,2024-01-29
59,Eduardo,Costa,F,72,teste@,(69)92501-4475,Vitória,Rs,2023-05-14
60,Tatiane,Ferreira,M,22,tatiane.ferreira833@hotmail.com,(11)95542-3370,Belo Horizonte,RJ,2022-02-22
61,Vinicius,Costa,M,55,vinicius.costa130@yahoo.com.br,(57)99408-2786,Goiânia,SP,2024-12-03
62,Theo,Silva,F,21,theo.silva111@yahoo.com.br,(52)93430-2076,Belo Horizonte,MT,2023-10-28
63,Helena,Barbosa,F,36,helena.barbosa719@gmail.com,(38)98046-8398,Caxias do Sul,BA,2024-05-01
64,Bruno,Martins,F,38,bruno.martins704yahoo.com.br,(58)93131-1982,Fortaleza,PE,2022-09-08
65,Davi,Moreira,M,45,davi.moreira615@outlook.com,(95)98900-4674,Niterói,RJ,2023-07-25
66,Daniel,Araujo,M,80,teste@,(54)96751-1100,Uberlândia,BA,2022-05-23
67,Arthur,Silva,M,23,arthur.silva465@outlook.com,(83)92391-1861,Belo Horizonte,PE,2022-06-17
68,Davi,Martins,F,49,davi.martins774@gmail.com,(86)98972-9633,,MS,2022/04/23
69,Amanda,Moreira,F,26,amanda.moreira8@yahoo.com.br,(40)99196-6802,Rio de Janeiro,BA,2022-02-08
70,Lucas,Nascimento,F,54,lucas.nascimento428@outlook.com,,Florianópolis,GO,2024-01-12
71,Carlos,Costa,M,45,carlos.costa318@outlook.com,999999,Campo Grande,PR,2023-12-21
72,Theo,Lima,F,33,theo.lima617@hotmail.com,(91)99095-8601,Fortaleza,MS,2023-10-24
73,Arthur,Nascimento,F,27,arthur.nascimento311@outlook.com,,,SC,2022-06-07
74,Marcos,Correia,F,56,marcos.correia978@gmail.com,(52)98792-9214,Belo Horizonte,ES,2023-12-05
75,Marcos,Barbosa,M,59,marcos.barbosa450@hotmail.com,(54)91857-6482,Rio de Janeiro,BA,2023-08-05
76,Davi,Correia,M,73,davi.correia145@outlook.com,(27)92388-6072,Recife,MG,2024-12-14
77,Davi,Martins,F,50,davi.martins974@hotmail.com,(28)93538-2264,Londrina,ES,2025-01-10
78,Aline,Souza,M,60,aline.souza158@hotmail.com,(32)98170-1715,Feira de Santana,GO,2023-08-07
79,Eduardo,Costa,F,52,eduardo.costa199@outlook.com,(47)97256-9239,Campo Grande,RS,2022-10-11
80,Pedro,Ribeiro,M,48,pedro.ribeiro529@gmail.com,(76)93414-8167,Rio de Janeiro,GO,2023-12-17
81,Roberto,Souza,M,43,roberto.souza84@outlook.com,(94)96493-3392,,GO,2022-10-12
82,Patricia,Rocha,M,-5,patricia.rocha856@hotmail.com,(25)95720-4893,Londrina,PE,31/02/2025
83,Helena,Araujo,M,19,teste@,(96)92402-9576,Joinville,MT,2024-11-05
84,Ricardo,Dias,F,20,ricardo.dias17@outlook.com,(91)92698-6447,,PE,2022-12-25
85,Bernardo,Rocha,M,80,bernardo,,Porto Alegre,SC,2024-11-21
86,Bianca,Dias,F,0,bianca.dias800@gmail.com,(58)98159-7553,Goiânia,MG,2024-10-13
87,Gustavo,Barbosa,F,35,gustavo.barbosa617@hotmail.com,(95)95843-6021,Goiânia,CE,2024-06-28
88,João,Freitas,F,73,@gmail.com,(97)93621-1510,Belo Horizonte,GO,2022-03-13
89,Beatriz,Moreira,F,59,beatriz.moreira34@hotmail.com,(20)93255-9674,Joinville,RS,08-21-2022
90,Vanessa,Barbosa,M,42,vanessa.barbosa267@yahoo.com.br,(73)94279-3009,Belo Horizonte,CE,2024-06-30
91,Bernardo,Nascimento,M,60,bernardo.nascimento298@outlook.com,(92)93852-6922,Campo Grande,ES,2022-10-12
92,Vanessa,Silva,F,41,vanessa.silva565@hotmail.com,(72)99612-7730,Feira de Santana,Rs,2022-06-01
93,Bernardo,Barbosa,M,40,bernardo.barbosa133@yahoo.com.br,(77)93507-5982,Uberlândia,RS,2023-12-10
94,Aline,Almeida,F,0,aline.almeida311@gmail.com,(30)93804-6531,,RJ,2022-04-04
95,Caio,Melo,F,34,caio.melo32@yahoo.com.br,(49)98912-5012,Salvador,São Paulo,2022-11-20
96,Patricia,Rocha,M,31,patricia.rocha736@outlook.com,(27)97070-9437,Recife,RJ,2023-07-02
97,Gabriel,Santos,F,21,gabriel.santos429@hotmail.com,(84)96123-4110,Uberlândia,GO,2023-09-24
98,Marcos,Gomes,M,50,@gmail.com,(97)98710-5681,,MG,2023-06-26
99,Murilo,Gomes,M,-5,murilo.gomes296@gmail.com,(90)92946-3108,Niterói,PR,2025-02-16
100,Murilo,Lima,F,30,murilo.lima47@gmail.com,(69)93440-9446,Belo Horizonte,MG,2024-03-15
101,Nicolas,Almeida,F,55,nicolas.almeida307@yahoo.com.br,(64)96040-1436,Vitória,ES,2025-03-30
102,Enzo,Souza,F,55,enzo.souza698hotmail.com,(64)93481-7765,Porto Alegre,GO,2022-05-08
103,Aline,Ferreira,F,53,aline.ferreira322@hotmail.com,(97)95331-8932,Porto Alegre,SC,2023-04-06
104,Laura,Moreira,F,36,laura.moreira358@outlook.com,(61)96654-3399,,RJ,2023-12-11
105,Theo,Rodrigues,M,65,theo.rodrigues278@outlook.com,(42)91831-9700,Caxias do Sul,Santa Catarina,2023-11-08
106,Carlos,Monteiro,M,67,carlos.monteiro958@yahoo.com.br,(52)95676-1969,Rio de Janeiro,CE,2022-03-18
107,Felipe,Martins,M,74,felipe.martins407@yahoo.com.br,(48)91613-1151,Londrina,PR,2023-08-06
108,Theo,Araujo,M,51,theo.araujo480@outlook.com,(69)95215-4050,São Paulo,MS,2023-01-31
109,Arthur,Gomes,F,70,arthur.gomes686@gmail.com,(42)91111-5272,Salvador,PR,2023-09-11
110,Tatiane,Silva,M,34,tatiane.silva122@yahoo.com.br,(50)92923-5833,Joinville,MG,2024-09-06
111,Nicolas,Correia,F,41,nicolas.correia822@hotmail.com,(21)99609-8319,Campo Grande,Sao Paulo,2022-05-07
112,Renata,Ferreira,M,54,renata.ferreira533@yahoo.com.br,(22)99361-8298,Campinas,GO,31/02/2025
113,Bernardo,Almeida,M,vinte,teste@,(18)92130-8734,Campinas,MG,2024-05-10
114,Ricardo,Rocha,F,73,ricardo.rocha700@hotmail.com,(79)97439-9664,Belo Horizonte,SP,2022-02-16
115,Luiz,Monteiro,F,64,luiz.monteiro254@yahoo.com.br,(25)91527-7868,Vitória,SP,2023-05-08
116,Carlos,Correia,M,20,carlos.correia46@yahoo.com.br,(18)93295-9255,Londrina,MS,2023-10-16
117,Caio,Monteiro,F,70,caio.monteiro677@hotmail.com,(86)93869-7999,Recife,PE,2024-02-20
118,Bruno,Teixeira,F,44,bruno.teixeira773@yahoo.com.br,(29)98586-1944,Recife,MT,2022-10-02
119,Larissa,Ferreira,F,39,@gmail.com,(20)94082-4555,Cuiabá,SC,2022-02-01
120,Julia,Freitas,F,25,julia.freitas713@hotmail.com,(47)97236-8639,Recife,PR,2024-11-16
121,Luiz,Santos,F,69,luiz.santos328@hotmail.com,(39)93390-1265,Curitiba,CE,2024-05-05
122,Julia,Nascimento,M,32,julia.nascimento671@outlook.com,(93)99037-8550,Uberlândia,MG,2025-01-24
123,Bianca,Ribeiro,M,-5,bianca.ribeiro685@gmail.com,(40)92113-3474,São Paulo,SP,2024-09-16
124,Maria,Silva,M,,maria.silva740@outlook.com,(97)98054-3937,Niterói,RS,2023-01-29
125,Larissa,Carvalho,M,35,larissa.carvalho416@yahoo.com.br,(98)92320-1519,Rio de Janeiro,GO,2022-04-25
126,Samuel,Pereira,F,23,samuel.pereira340@gmail.com,(99)98790-5441,Campinas,SC,2025-01-17
127,João,Pereira,M,77,joão.pereira602@hotmail.com,(20)95903-3661,Fortaleza,BA,2025-01-12
128,Murilo,Freitas,M,26,@gmail.com,,,GO,2024-10-01
129,Carolina,Gomes,F,45,carolina.gomes634@outlook.com,(30)97225-3527,Salvador,SP,2023-09-24
130,Murilo,Rodrigues,M,24,murilo.rodrigues571@yahoo.com.br,(87)96315-7311,São Paulo,RJ,2025-02-19
131,Beatriz,Melo,F,51,beatriz.melo276@outlook.com,(46)97899-5911,Cuiabá,RS,2024-10-12
132,Julia,Rocha,M,24,julia.rocha341@yahoo.com.br,(94)93230-5922,Florianópolis,GO,2023-10-06
133,Fernando,Nascimento,F,36,fernando.nascimento801@hotmail.com,(57)92865-4273,Fortaleza,ES,31/02/2025
134,Henrique,Ferreira,M,46,henrique.ferreira815@yahoo.com.br,(43)93525-7932,Salvador,GO,2025-04-07
135,Renata,Teixeira,F,44,renata.teixeira832@gmail.com,(32)91725-7547,Florianópolis,SP,2022-07-21
136,Renata,Freitas,M,51,renata.freitas401@yahoo.com.br,(55)91402-8909,Niterói,RJ,2022-08-26
137,Enzo,Lima,F,40,enzo.lima534@yahoo.com.br,(68)96225-2100,,SP,2023-12-04
138,Bernardo,Pereira,M,77,bernardo.pereira566@hotmail.com,(62)94022-4053,Feira de Santana,RS,2024-07-09
139,Ricardo,Silva,F,63,ricardo.silva829@gmail.com,(57)96340-4228,Goiânia,GO,2024-12-16
140,Bruno,Correia,M,42,bruno.correia866@yahoo.com.br,(49)92388-3194,Florianópolis,MG,2024-02-04
141,Renata,Gomes,F,44,renata.gomes499@hotmail.com,(51)98389-1878,Joinville,RS,2024-02-26
142,Renata,Ribeiro,F,49,renata.ribeiro861@yahoo.com.br,abc123,,SC,2022-12-11
143,Tatiane,Freitas,M,67,tatiane.freitas275@outlook.com,(67)99951-4580,Feira de Santana,ES,2023-05-22
144,João,Rocha,M,34,joão.rocha121@hotmail.com,(89)98015-3719,Vitória,RS,2022-05-02
145,Bianca,Rodrigues,F,56,bianca.rodrigues300@outlook.com,(97)92560-3221,Feira de Santana,PE,2022-09-17
146,Mateus,Costa,M,27,mateus.costa693@yahoo.com.br,(64)97146-8405,Rio de Janeiro,RJ,2024-04-05
147,Camila,Teixeira,F,77,camila.teixeira336@gmail.com,(69)96869-2037,Recife,RS,2024-10-10
148,Isabela,Nascimento,F,53,@gmail.com,,Uberlândia,Santa Catarina,2023-02-19
149,Mateus,Ribeiro,F,37,mateus.ribeiro370@outlook.com,(17)97493-6005,Caxias do Sul,RJ,2022-01-03
150,Lucas,Lima,F,,lucas.lima713@outlook.com,(27)98826-2160,Caxias do Sul,RJ,2022-07-31
151,Laura,Lima,M,42,,,Uberlândia,PE,2022-11-07
152,Miguel,Monteiro,M,46,miguel.monteiro144@gmail.com,(51)93290-5059,Curitiba,MS,2023-08-07
153,Samuel,Silva,F,72,samuel.silva622@hotmail.com,abc123,Cuiabá,PE,2022-05-26
154,Ana,Carvalho,F,77,ana.carvalho583@yahoo.com.br,(20)91273-2106,São Paulo,São Paulo,2024-03-26
155,Arthur,Teixeira,F,50,arthur.teixeira85@hotmail.com,(37)93545-9788,Florianópolis,PE,2022-05-16
156,Daniel,Freitas,M,79,daniel.freitas947@yahoo.com.br,abc123,,SP,2022-12-02
157,Vinicius,Barbosa,F,51,vinicius.barbosa130@outlook.com,(53)98034-5456,Campo Grande,MS,2022-06-07
158,Renata,Carvalho,M,21,renata.carvalho262@gmail.com,(76)91042-1721,São Paulo,BA,2022-11-04
159,João,Araujo,F,69,joão.araujo255@yahoo.com.br,(84)97108-2956,Campo Grande,Rio,2024-11-22
160,Fernando,Oliveira,F,74,fernando.oliveira319@outlook.com,(48)95979-4974,Goiânia,ES,2023-02-05
161,Bianca,Moreira,M,68,bianca.moreira25@hotmail.com,(12)96488-1023,Salvador,RJ,2023-02-25
162,Beatriz,Martins,M,49,beatriz.martins96@gmail.com,(58)98511-2391,Fortaleza,BA,2022-06-03
163,Pedro,Martins,M,60,pedro.martins872@outlook.com,(52)96211-8417,Curitiba,MG,2025-04-12
164,Carlos,Pereira,F,46,carlos.pereira367@hotmail.com,(22)93582-5984,,PR,2022-10-31
165,Beatriz,Carvalho,F,43,beatriz.carvalho179@gmail.com,(81)95093-2551,Goiânia,RJ,01-25-2022
166,Mateus,Ferreira,M,70,mateus.ferreira266gmail.com,(27)92506-6432,,MG,2025-03-21
167,Enzo,Gomes,M,,enzo.gomes931@hotmail.com,(89)95026-5835,Cuiabá,SP,2022-06-29
168,Mateus,Martins,M,30,mateus.martins822@gmail.com,(80)98940-6636,Fortaleza,MG,2022-02-23
169,Fernanda,Silva,F,75,fernanda.silva484@outlook.com,(23)95060-4951,Curitiba,CE,2022-04-25
170,Fernanda,Melo,F,72,fernanda.melo860@hotmail.com,(56)91462-6761,Fortaleza,RS,2024-10-05
171,Felipe,Dias,M,20,,(33)96301-1975,São Paulo,MG,2022-08-16
172,Gustavo,Oliveira,F,41,gustavo.oliveira345@outlook.com,(66)98982-6198,Uberlândia,MS,2024-01-01
173,Sofia,Pereira,F,42,sofia.pereira747@gmail.com,(83)91530-3983,Vitória,MS,2023-03-29
174,Carlos,Dias,M,27,carlos.dias328@hotmail.com,(96)96500-8317,São Paulo,RJ,2023-12-19
175,Carlos,Freitas,F,,carlos.freitas906@yahoo.com.br,(23)98855-4695,Uberlândia,SP,2023/08/27
176,Carlos,Oliveira,F,39,carlos.oliveira77@gmail.com,(14)98066-3703,Vitória,RJ,2023-11-10
177,Julia,Martins,F,62,julia.martins305@hotmail.com,(73)93516-1893,,PE,2024-09-10
178,Maria,Ferreira,M,28,maria.ferreira119@outlook.com,(44)92493-9914,Salvador,PR,2023-01-18
179,Larissa,Rocha,F,47,larissa.rocha155@gmail.com,(86)94727-1999,Salvador,MT,2024-08-30
180,Beatriz,Dias,M,-5,beatriz.dias776@yahoo.com.br,(35)93067-1699,Feira de Santana,RS,2022-10-30
181,Larissa,Nascimento,M,76,larissa.nascimento570@yahoo.com.br,(12)99561-7874,Niterói,MS,2025-04-08
182,Carlos,Santos,F,54,carlos.santos902@outlook.com,(84)98750-1613,Uberlândia,MS,2024/04/02
183,Samuel,Costa,F,21,samuel.costa21@outlook.com,(73)92609-4734,Belo Horizonte,ES,2023-10-20
184,Roberto,Correia,F,59,roberto.correia844@yahoo.com.br,(18)99442-3604,Rio de Janeiro,MG,2024-12-09
185,Maria,Pereira,M,30,maria.pereira256@gmail.com,(46)97035-8605,Campo Grande,PE,2022-03-04
186,Vanessa,Correia,F,46,vanessa.correia359@outlook.com,(99)92480-5670,São Paulo,MS,2023-03-15
187,Theo,Costa,F,61,theo.costa886@gmail.com,(12)94666-5135,Vitória,CE,2023-07-18
188,Ricardo,Carvalho,F,47,ricardo.carvalho534@yahoo.com.br,,Joinville,SC,2023-09-04
189,Patricia,Oliveira,F,39,patricia.oliveira268@outlook.com,(18)97620-6236,Belo Horizonte,SC,2023-06-16
190,Fernando,Gomes,F,0,fernando.gomes228@yahoo.com.br,(32)93967-5813,Niterói,CE,2025-02-18
191,Felipe,Monteiro,M,75,felipe.monteiro229@outlook.com,(85)95817-8598,Niterói,MS,2025-04-03
192,Lucas,Dias,M,74,lucas.dias391@outlook.com,(36)96614-7704,Fortaleza,MG,2023-10-10
193,Felipe,Moreira,M,23,felipe.moreira60@gmail.com,(84)93595-9021,Rio de Janeiro,BA,2024-04-06
194,Patricia,Gomes,F,0,patricia.gomes914@outlook.com,999999,Caxias do Sul,SC,2022-09-22
195,Renata,Melo,M,37,renata.melo298@yahoo.com.br,(98)93192-6615,Cuiabá,ES,04-06-2024
196,Enzo,Lima,M,31,enzo.lima729@gmail.com,(90)91796-1785,Niterói,Sao Paulo,2024-05-03
197,Paulo,Araujo,M,34,paulo.araujo703@gmail.com,(45)93247-7862,Niterói,SC,2022-08-22
198,Vanessa,Ferreira,F,56,vanessa.ferreira997@hotmail.com,(81)99132-4402,Cuiabá,Sao Paulo,2022-08-15
199,Davi,Dias,M,27,davi.dias104@outlook.com,(44)98606-1820,Niterói,SC,2024-01-08
200,Bruno,Martins,M,,bruno.martins142@hotmail.com,(45)92522-7105,Florianópolis,GO,2023-07-11
201,Samuel,Dias,M,69,samuel.dias713@gmail.com,(86)98908-8178,Uberlândia,MS,2022-03-01
202,Enzo,Lima,M,48,teste@,,Campo Grande,MS,2023-04-04
203,Davi,Nascimento,M,51,davi.nascimento745@hotmail.com,(30)91894-1190,Uberlândia,GO,31/02/2025
204,Bruno,Costa,M,39,bruno.costa564@yahoo.com.br,(84)98341-2442,Cuiabá,GO,2022-02-06
205,Roberto,Souza,M,53,roberto.souza987@outlook.com,(69)96584-6953,Campinas,PR,2025-02-21
206,Helena,Dias,F,63,teste@,(48)99973-9552,Joinville,SP.,2024-10-05
207,Henrique,Freitas,F,64,henrique.freitas193@gmail.com,(35)96536-2765,,PE,2022-09-10
208,Eduardo,Rocha,M,60,eduardo.rocha5@gmail.com,(76)93903-3845,Belo Horizonte,MS,2023-10-22
209,Ricardo,Martins,M,80,ricardo.martins987@outlook.com,(63)99393-5897,Recife,MT,2023-03-22
210,Miguel,Teixeira,M,36,miguel.teixeira666@hotmail.com,(25)96771-8870,Fortaleza,BA,2024-12-29
211,Daniel,Silva,F,51,daniel.silva687@gmail.com,(47)95105-3399,Campinas,ES,31/02/2025
212,Carlos,Correia,M,73,carlos.correia575@yahoo.com.br,(47)91769-7251,Salvador,PE,2023-10-03
213,Pedro,Silva,F,65,pedro.silva934@outlook.com,(35)95819-8353,Uberlândia,SP.,2024-11-18
214,João,Martins,M,35,@gmail.com,(30)96285-1833,Vitória,ES,2025-03-18
215,Lucas,Teixeira,M,38,lucas.teixeira806@hotmail.com,(39)94495-6437,Florianópolis,ES,2024-12-22
216,Carolina,Moreira,M,80,carolina.moreira457@hotmail.com,(16)96258-7248,Niterói,SC,2022-02-20
217,Caio,Carvalho,F,50,caio.carvalho304@hotmail.com,(79)99736-1120,Rio de Janeiro,RS,2024-05-18
218,Amanda,Araujo,F,71,amanda.araujo963@gmail.com,(53)91620-2433,Rio de Janeiro,MT,2022-05-25
219,Fernanda,Rodrigues,F,44,fernanda.rodrigues18@yahoo.com.br,(90)92036-1745,Rio de Janeiro,SC,2023-09-10
220,Isabela,Moreira,F,77,isabela.moreira32@yahoo.com.br,(80)95832-3360,Londrina,ES,2024-02-04
221,Ana,Araujo,M,,ana.araujo587@yahoo.com.br,(55)94469-7760,Campo Grande,MS,2023-06-02
222,Felipe,Monteiro,M,69,felipe.monteiro955@yahoo.com.br,(43)92608-4234,Fortaleza,MG,2023-04-26
223,Miguel,Oliveira,F,75,miguel.oliveira632@outlook.com,(51)98017-3762,São Paulo,CE,2024-06-12
224,Gustavo,Lima,F,61,gustavo.lima368@outlook.com,(21)95597-3293,Recife,PE,2022-06-06
225,Maria,Barbosa,M,,maria.barbosa565@outlook.com,(30)96993-7430,Caxias do Sul,SC,2022-10-02
226,Renata,Oliveira,M,43,renata.oliveira869@hotmail.com,(83)93395-8921,,RS,2022-05-09
227,Fernanda,Souza,F,60,fernanda.souza940@yahoo.com.br,,Florianópolis,PE,2023-07-15
228,Larissa,Melo,F,52,larissa.melo375@gmail.com,(77)97649-6781,Joinville,MS,2022-01-14
229,Mateus,Rocha,F,28,mateus.rocha192@hotmail.com,(40)97793-6410,Niterói,RS,2022-11-27
230,Roberto,Silva,M,0,teste@,(62)91305-5644,Rio de Janeiro,GO,2024-09-13
231,Roberto,Correia,M,27,roberto.correia524@outlook.com,(87)92127-4765,Salvador,RS,2024-12-06
232,Renata,Monteiro,M,44,renata.monteiro924@gmail.com,(22)98901-3135,Vitória,Santa Catarina,2024-12-05
233,João,Teixeira,F,51,joão.teixeira391@outlook.com,(84)92600-7971,Belo Horizonte,RJ,2023-08-04
234,Bianca,Martins,M,34,bianca.martins121@gmail.com,(63)96935-2746,Belo Horizonte,SC,2025-01-02
235,Gustavo,Correia,F,35,gustavo.correia424@yahoo.com.br,(50)96641-7522,Belo Horizonte,CE,2023-04-16
236,Samuel,Pereira,F,24,samuel.pereira821@gmail.com,999999,Belo Horizonte,RJ,2022-05-12
237,Gustavo,Oliveira,F,,gustavo.oliveira534@outlook.com,(33)99099-8192,São Paulo,ES,2024-11-27
238,João,Correia,M,50,joão.correia691@gmail.com,(22)95520-7544,Joinville,RS,26/11/2024
239,Marcos,Araujo,F,36,marcos.araujo836@outlook.com,(62)91076-5277,Uberlândia,RJ,2024-10-27
240,Paulo,Barbosa,F,79,paulo.barbosa990@yahoo.com.br,(69)98548-1448,Cuiabá,Rio,2023-04-16
241,Roberto,Carvalho,F,51,roberto.carvalho96@yahoo.com.br,abc123,Cuiabá,MS,2023-07-06
242,Nicolas,Monteiro,F,77,nicolas.monteiro241@hotmail.com,(42)96833-3555,Niterói,Paraná,2022-01-14
243,Bianca,Souza,F,72,bianca.souza903@outlook.com,(46)97518-4638,Fortaleza,BA,2024-09-06
244,João,Barbosa,M,40,joão.barbosa124@yahoo.com.br,,Porto Alegre,PR,2023-06-16
245,Larissa,Costa,F,35,larissa.costa511@yahoo.com.br,(62)95581-8384,Uberlândia,PE,2023-04-14
246,Enzo,Rodrigues,F,69,enzo.rodrigues201@hotmail.com,(12)93893-7906,Cuiabá,PE,2024-11-24
247,Bruno,Dias,M,37,teste@,(68)96483-5256,Joinville,ES,2023-06-12
248,Roberto,Santos,M,40,roberto.santos666@hotmail.com,(76)98987-8322,Rio de Janeiro,PE,2022-10-24
249,Arthur,Nascimento,F,44,arthur.nascimento74@gmail.com,(48)95382-7479,Curitiba,PR,2024-12-02
250,Roberto,Pereira,M,29,roberto.pereira678@outlook.com,(32)97505-2687,Niterói,MT,31/02/2025
